Year,Month,MonthNumber,Day,DayName,Item,MonthYearToUse,AppliesToDay,AllocatedSalaryPortion,VariableIncomeSource,AllocatedVariableIncomePortion
2025,December,,,,Trust Fund,December 2025,,200,,
2025,December,,,,Long Term Savings,December 2025,,0,,
2025,December,,,,Loan Repayment,December 2025,,409.56,,
2025,December,,,,SOA Exams,December 2025,,488,,
2026,January,,,,Apple Music Subscription,January 2026,,30,,
2026,January,,,,Shoes,January 2026,,70.63,,
2026,January,,,,Bundle,January 2026,,100,,
2026,January,,,,Department Dues,January 2026,,100,,
2026,January,,,,Hair,January 2026,,159.37,,
2026,January,,,,Skincare,January 2026,,100,,
2026,January,,,,Rent Charges,January 2026,,120,,
2026,January,,,,Charges,January 2026,,130,,
2026,January,,,,Rental Utilities,January 2026,,140,,
2026,January,,,,Electricity,January 2026,,200,,
2026,January,,,,Tithe,January 2026,,500,,
2026,January,,,,Rent,January 2026,,1000,,
2026,January,,,,SOA Exams,January 2026,,1000,,
2026,February,2,7,Saturday,Transport,February 2026,FALSE,0,,
2026,February,2,14,Saturday,Transport,February 2026,FALSE,0,,
2026,February,2,21,Saturday,Transport,February 2026,FALSE,0,,
2026,February,2,28,Saturday,Transport,February 2026,FALSE,0,,
2026,February,,,,Charges,February 2026,,65,,
2026,February,,,,Apple Music Subscription,February 2026,,30,,
2026,February,,,,Department Dues,February 2026,,100,,
2026,February,,,,Rent Charges,February 2026,,120,,
2026,February,,,,Rental Utilities,February 2026,,140,,
2026,February,,,,Electricity,February 2026,,200,,
2026,February,,,,Tithe,February 2026,,500,,
2026,February,,,,Rent,February 2026,,1000,,
2026,February,,,,SOA Exams,February 2026,,750,,
2026,March,3,7,Saturday,Transport,March 2026,FALSE,0,,
2026,March,3,14,Saturday,Transport,March 2026,FALSE,0,,
2026,March,3,21,Saturday,Transport,March 2026,FALSE,0,,
2026,March,3,28,Saturday,Transport,March 2026,FALSE,0,,
2026,March,,,,Charges,March 2026,,60,,
2026,March,,,,Apple Music Subscription,March 2026,,30,,
2026,March,,,,Department Dues,March 2026,,100,,
2026,March,,,,Trust Fund,March 2026,,100,,
2026,March,,,,Rent Charges,March 2026,,120,,
2026,March,,,,Rental Utilities,March 2026,,140,,
2026,March,,,,Electricity,March 2026,,200,,
2026,March,,,,Tithe,March 2026,,500,,
2026,March,,,,Rent,March 2026,,1000,,
2026,March,,,,SOA Exams,March 2026,,650,,
2026,April,4,4,Saturday,Transport,April 2026,FALSE,0,,
2026,April,4,11,Saturday,Transport,April 2026,FALSE,0,,
2026,April,4,18,Saturday,Transport,April 2026,FALSE,0,,
2026,April,4,25,Saturday,Transport,April 2026,FALSE,0,,
2026,May,5,2,Saturday,Transport,April 2026,FALSE,0,,
2026,April,,,,Apple Music Subscription,April 2026,,30,,
2026,April,,,,Charges,April 2026,,50,,
2026,April,,,,Clothes,April 2026,,50,,
2026,April,,,,Department Dues,April 2026,,100,,
2026,April,,,,Gifting,April 2026,,100,,
2026,April,,,,Outing,April 2026,,100,,
2026,April,,,,Utilities,April 2026,,100,,
2026,April,,,,Travel,April 2026,,100,,
2026,April,,,,Trust Fund,April 2026,,100,,
2026,April,,,,Rent Charges,April 2026,,120,,
2026,April,,,,Rental Utilities,April 2026,,140,,
2026,April,,,,Electricity,April 2026,,200,,
2026,April,,,,Shoes,April 2026,,200,,
2026,April,,,,Bundle,April 2026,,300,,
2026,April,,,,Hair,April 2026,,1800,,
2026,April,,,,Skincare,April 2026,,300,,
2026,April,,,,Tithe,April 2026,,700,,
2026,April,,,,Rent,April 2026,,1000,,
2026,April,,,,MSc. Actuarial Science,April 2026,,0,,
2026,April,,,,SOA Exams,April 2026,,340,,
2026,May,5,9,Saturday,Transport,May 2026,FALSE,0,,
2026,May,5,16,Saturday,Transport,May 2026,FALSE,0,,
2026,May,5,23,Saturday,Transport,May 2026,FALSE,0,,
2026,May,5,30,Saturday,Transport,May 2026,FALSE,0,,
2026,May,,,,Charges,May 2026,,40,,
2026,May,,,,Apple Music Subscription,May 2026,,30,,
2026,May,,,,Clothes,May 2026,,100,,
2026,May,,,,Department Dues,May 2026,,100,,
2026,May,,,,Gifting,May 2026,,100,,
2026,May,,,,Skincare,May 2026,,100,,
2026,May,,,,Utilities,May 2026,,1600,,
2026,May,,,,Trust Fund,May 2026,,100,,
2026,May,,,,Rent Charges,May 2026,,120,,
2026,May,,,,Rental Utilities,May 2026,,140,,
2026,May,,,,Electricity,May 2026,,200,,
2026,May,,,,Tithe,May 2026,,700,,
2026,May,,,,Rent,May 2026,,1000,,
2026,May,,,,MSc. Actuarial Science,May 2026,,0,,
2026,May,,,,SOA Exams,May 2026,,340,,
2026,June,6,6,Saturday,Transport,June 2026,FALSE,0,,
