Month,Year,Type,Items,IncomePeriod,ActualAmount,CalculatedAmount,CalculatedType,SalaryPortion,CompanyBonusPortion,Paid,PortionsTotal,AllocationBalancing,Credit,Debit
December,2025,Budget,Long Term Savings,,344.52,344.52,Actual,344.52,,Transferred,344.52,,,
December,2025,Budget,Trust Fund,,200,200,Actual,200,,Transferred,200,,,
December,2025,Budget,SOA Exams,,488,488,Actual,488,,Transferred,488,,,
January,2026,Budget,Rent,,1000,1000,Actual,1000,,1000,1000,,,
January,2026,Budget,Rent Charges,,120,120,Actual,120,,120,120,,,
January,2026,Budget,Bundle,,100,100,Actual,100,,,100,,,
January,2026,Budget,Shoes,,50,50,Actual,50,,50,50,,,
January,2026,Budget,Hair,,100,100,Actual,100,,100,100,,,
January,2026,Budget,Tithe,,500,500,Actual,500,,500,500,,,
January,2026,Budget,Electricity,,200,200,Actual,200,,200,200,,,
January,2026,Budget,Rental Utilities,,140,140,Actual,140,,140,140,,,
January,2026,Budget,MSc. Actuarial Science,,,,Actual,0,,,,,,
January,2026,Budget,SOA Exams,,1000,1000,Actual,1000,,1000,1000,,,
January,2026,Budget,Clothes,,,,Actual,,,,,,,
January,2026,Budget,Skincare,,100,100,Actual,100,,100,100,,,
January,2026,Budget,Trust Fund,,100,100,Actual,100,,Transferred,100,,,
January,2026,Budget,Department Dues,,100,100,Actual,100,,100,100,,,
January,2026,Budget,Gifting,,,,Actual,,,,,,,
January,2026,Budget,Apple Music Subscription,,30,30,Actual,30,,30,30,,,
January,2026,Budget,Transport,,900,1050,Calculated,1050.0,,1050,1050,,,
January,2026,Budget,Food,,930,1050,Calculated,1050.0,,1050,1050,,,
January,2026,Budget,Utilities,,,,Actual,,,,,,,
January,2026,Budget,Travel,,,,Actual,,,,,,,
January,2026,Budget,Outing,,,,Actual,,,,,,,
January,2026,Budget,Charges,,20.1,20.1,Actual,20.1,,20,20.1,,,
February,2026,Budget,Rent,,1000,1000,Actual,1000,,1000,1000,,,
February,2026,Budget,Rent Charges,,120,120,Actual,120,,120,120,,,
February,2026,Budget,Bundle,,,,Actual,,,,,,,
February,2026,Budget,Shoes,,,,Actual,,,,,,,
February,2026,Budget,Hair,,,,Actual,,,,,,,
February,2026,Budget,Tithe,,500,500,Actual,500,,500,500,,,
February,2026,Budget,Electricity,,200,200,Actual,200,,200,200,,,
February,2026,Budget,Rental Utilities,,140,140,Actual,140,,140,140,,,
February,2026,Budget,MSc. Actuarial Science,,,,Actual,,,,,,,
February,2026,Budget,SOA Exams,,1000,1000,Actual,1000,,1000,1000,,,
February,2026,Budget,Clothes,,,,Actual,,,,,,,
February,2026,Budget,Skincare,,,,Actual,,,,,,,
February,2026,Budget,Trust Fund,,,,Actual,,,,,,,
February,2026,Budget,Department Dues,,100,100,Actual,100,,100,100,,,
February,2026,Budget,Gifting,,,,Actual,,,,,,,
February,2026,Budget,Apple Music Subscription,,30,30,Actual,30,,30,30,,,
